customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_policies,total_claim_amount
4809,48029,61,7,52,9,292
2228,92260,64,3,26,1,744
14947,22139,100,34,31,2,480
22332,49078,97,10,3,2,484
9025,23675,117,33,31,7,707
4745,50549,61,2,73,7,292
5035,37405,63,8,99,4,287
4956,87197,63,35,45,3,247
5989,66839,154,33,24,1,739
17114,70961,85,19,8,2,408
5154,82730,127,13,31,1,442
2420,31710,62,5,29,1,199
19955,69096,99,24,32,2,64
5454,66334,69,25,25,4,331
12836,37720,116,6,28,2,835
4626,79487,114,20,87,1,547
5326,76717,66,26,10,6,300
2497,10347,69,5,74,1,272
2736,17533,73,10,1,1,350
3746,41479,94,14,38,1,19
7247,89926,104,9,58,7,499
6274,13662,85,29,37,3,408
15031,59456,189,11,7,8,907
5107,70174,64,29,80,7,128
2502,18997,74,26,95,1,355
9521,27769,121,24,78,6,123
8869,81350,110,1,28,9,228
4376,63774,111,18,63,1,60
2926,92381,72,24,27,1,234
24706,26307,73,26,1,2,313
8491,50446,116,3,97,3,1193
9191,23823,115,5,39,6,567
5776,27510,159,5,28,1,871
9115,69588,114,19,45,6,173
4163,43276,104,16,11,1,499
5264,73430,72,30,26,8,135
3945,28855,101,12,59,1,647
5176,41533,65,2,46,9,232
4492,21137,61,29,62,6,292
8470,71268,82,1,13,2,479
2880,81565,71,19,54,1,190
6182,20072,82,35,51,9,473
9799,22166,126,10,22,6,604
5790,84551,72,10,82,5,28
5041,61972,64,2,52,5,138
5745,57740,74,30,87,9,269
4827,82108,68,29,91,6,326
7664,60184,199,7,44,1,161
3593,18213,96,12,43,1,460
9863,99654,121,13,95,3,272
5111,76448,63,9,13,3,302
2590,22398,67,14,76,1,321
2452,51085,62,4,58,1,406
2194,73465,62,11,48,1,623
4473,14895,125,2,84,1,600
19435,38688,249,22,6,3,2294
2457,52926,61,2,92,1,292
6870,18356,105,5,87,3,756
14019,31739,71,10,29,2,469
5575,91416,69,6,39,5,109
5651,44634,71,16,99,9,396
4556,25617,63,22,3,3,302
2108,84934,61,8,91,1,351
3095,92786,92,31,24,1,774
5860,94527,73,16,32,3,41
2300,25905,63,21,12,1,302
4950,27400,63,14,78,9,302
7507,60920,64,13,61,2,231
2224,54388,64,20,4,1,483
2867,23376,78,19,18,1,374
5427,27677,72,10,82,3,345
12157,40432,77,21,66,2,369
8152,96230,79,19,70,2,568
2191,95647,61,9,16,1,439
26346,48268,223,28,26,2,1605
2364,46264,62,17,75,1,199
2710,92915,71,7,87,1,340
74228,88140,242,1,34,2,1742
14687,49080,85,3,61,2,612
9312,75986,115,11,44,3,89
7750,22668,67,5,34,2,33
2540,42557,65,4,35,1,57
2456,99801,73,15,59,1,525
3755,56178,94,1,39,1,451
5181,28522,70,9,64,7,336
32474,71449,102,17,7,2,734
8349,45428,109,3,46,3,487
8126,14616,107,2,73,3,513
13466,11432,119,17,9,2,571
5210,89781,66,7,89,5,37
6941,11527,111,3,73,6,532
7048,24030,194,14,0,1,970
26770,26335,113,32,7,2,355
9549,55986,119,3,60,9,388
4331,82302,106,11,92,1,722
7294,62548,113,12,66,7,733
3289,40097,92,23,35,1,227
2505,60546,63,21,71,1,46
3417,72460,85,9,76,1,370
16320,96619,247,5,12,5,1778
2838,15429,80,30,8,1,336
4700,76694,117,34,23,1,561
2471,95697,61,16,55,1,114
10130,59232,85,6,75,2,408
3419,40272,86,8,64,1,23
23866,60739,81,27,93,2,388
8324,47547,121,5,92,5,871
3179,65742,79,6,0,1,277
6672,56830,83,4,27,9,319
16407,22103,109,16,31,2,160
9371,66325,117,10,10,5,497
4270,30183,122,27,2,1,725
5799,60689,74,29,67,7,5
5096,22886,65,9,81,3,312
15563,31647,253,15,40,7,1214
7475,29633,196,26,57,1,534
9986,24067,132,12,2,6,633
5568,51489,139,14,10,1,236
20579,37604,69,5,26,2,566
8276,11319,82,29,92,2,590
4014,54054,99,7,55,1,5
12989,90593,65,16,3,2,312
15114,28513,100,4,22,2,480
4709,45313,66,17,29,3,470
2452,79898,62,5,86,1,271
3919,66676,97,0,40,1,558
4716,25746,61,0,84,3,292
12332,85789,105,18,54,2,122
35862,26376,121,7,19,2,580
2398,14321,65,20,72,1,423
6005,13528,86,21,35,3,412
6265,87414,84,18,25,4,481
8013,65636,67,15,72,2,321
4979,55041,71,17,57,5,340
4834,38713,66,31,69,6,316
3288,15547,102,16,1,1,734
5525,64816,69,30,33,7,331
9031,64383,122,15,47,9,650
4620,93226,130,11,0,1,936
5552,50470,71,1,87,8,377
3842,27906,102,5,57,1,489
5093,91814,63,30,99,3,167
16794,38399,106,12,6,2,368
24278,20983,97,10,52,2,451
7462,70263,93,30,66,5,7
3735,90003,110,3,16,1,792
2891,80590,71,4,19,1,134
11981,21514,62,0,59,2,257
2347,31617,62,17,29,1,244
4282,40864,109,16,70,1,166
5380,55350,67,0,13,9,321
5828,31364,74,28,47,3,461
5048,34452,126,2,51,1,604
7737,50296,65,26,62,2,46
7950,26189,69,6,42,2,331
4111,65085,103,20,55,1,480
8007,65605,112,12,93,3,537
4873,18866,126,4,62,1,604
2252,67682,65,13,84,1,468
4957,62803,62,16,12,5,400
2655,83460,66,20,18,1,443
5898,53998,78,5,38,8,414
17723,25771,222,21,58,4,1253
5108,26784,67,14,82,8,482
4517,25261,118,31,9,1,566
5310,41495,72,17,11,3,345
2773,73478,68,2,38,1,241
5504,36975,73,18,45,5,350
6960,74487,88,8,86,3,16
5010,64014,63,15,27,7,295
8488,80213,70,12,17,2,440
2471,95697,61,16,55,1,114
5876,32848,74,5,59,5,250
12313,26083,116,7,57,2,835
3982,38500,99,26,49,1,423
8237,23940,107,13,34,7,513
